finished,start_date,end_date,recorded_date,gender,age,enrolment_school,student_status,citizenship,ethnic_group,living_situation,current_circumstance,covid_19_stress_1,covid_19_stress_2,covid_19_stress_3,covid_19_stress_4,covid_19_stress_5,covid_19_stress_6,covid_19_stress_7,covid_19_stress_8,covid_19_stress_9,covid_19_stress_10,covid_19_stress_11,covid_19_stress_12,covid_19_stress_13,coping_strategies_1,coping_strategies_2,coping_strategies_3,coping_strategies_4,coping_strategies_5,coping_strategies_6,coping_strategies_7,coping_strategies_8,coping_strategies_9,coping_strategies_10,coping_strategies_11,coping_strategies_12,coping_strategies_13,coping_strategies_14,coping_strategies_15,generalv_wellbeing_1,generalv_wellbeing_2,generalv_wellbeing_3,generalv_wellbeing_4,generalv_wellbeing_5,generalv_wellbeing_6,music_info_4,music_info_5,prop_miss_all
TRUE,2020-04-28T17:17:04Z,2020-04-28T17:27:35Z,2020-04-28T17:27:36Z,male,18,5,1,Australia,Caucasian,1,4,1,2,2,1,1,5,5,1,2,4,4,1,1,4,5,1,1,1,2,3,4,3,1,1,1,1,1,4,4,4,3,5,1,3,Edison Highway - Topic,Place That I Call Home,0
TRUE,2020-04-28T17:46:35Z,2020-04-28T18:01:12Z,2020-04-28T18:01:13Z,female,20,5,1,Australia,Caucasian,1,4,2,4,4,2,3,4,5,1,1,2,2,1,1,6,6,4,5,5,4,5,5,2,6,5,1,5,4,3,4,5,4,5,2,4,Macklemore and Ryan Lewis,Growing up,0
TRUE,2020-04-28T18:04:08Z,2020-04-28T18:13:20Z,2020-04-28T18:13:20Z,male,24,5,2,singapore,Chinese,1,4,2,5,5,5,4,2,3,4,3,4,4,3,3,6,6,4,6,2,4,2,6,2,4,4,2,5,6,6,1,5,5,1,1,4,Stonebank,Stronger,0
TRUE,2020-04-28T18:05:11Z,2020-04-28T18:14:31Z,2020-04-28T18:14:31Z,female,18,5,1,Australia,Caucasian?,1,5,4,2,4,4,2,4,4,2,4,2,2,2,2,4,4,3,3,5,4,4,2,2,4,5,2,5,5,4,2,2,2,4,3,2,Kali uchis,Rush,0
TRUE,2020-04-28T18:06:15Z,2020-04-28T18:15:56Z,2020-04-28T18:15:57Z,female,18,3,1,Australia,Caucasian/European,1,4,2,4,2,4,2,4,3,2,2,4,2,4,4,4,5,4,5,3,2,3,4,4,4,3,1,4,3,2,2,4,4,5,4,2,Claude Debussy,Clair de Lune,0
TRUE,2020-04-28T20:17:09Z,2020-04-28T20:30:50Z,2020-04-28T20:30:50Z,female,17,5,1,New Zealand,New Zealand,1,4,1,1,1,1,1,5,3,1,1,3,3,2,3,5,6,6,6,6,5,6,6,5,4,6,1,3,1,3,3,5,5,4,4,4,Drake,Passionfruit,0
TRUE,2020-04-28T22:29:56Z,2020-04-28T22:43:56Z,2020-04-28T22:43:56Z,female,17,3,1,Australia,South Korean,1,4,4,3,5,5,3,5,3,3,4,5,5,5,4,6,6,6,6,6,4,5,5,4,6,6,1,6,6,6,2,2,5,4,4,4,GOT7,Aura,0
TRUE,2020-04-28T22:51:43Z,2020-04-28T23:02:36Z,2020-04-28T23:02:36Z,female,19,3,1,South Africa,South African/Australian,1,4,4,4,5,4,1,5,5,5,5,5,5,4,3,6,5,3,6,2,4,4,5,3,3,5,1,6,4,4,5,5,5,4,2,5,Bazzi,I Got You,0
TRUE,2020-04-29T08:21:24Z,2020-04-29T08:31:58Z,2020-04-29T08:31:59Z,male,17,3,1,"German, Australia",Australia,1,4,4,2,4,4,2,4,2,2,2,4,4,3,2,4,4,1,5,4,4,4,5,4,5,4,1,4,1,5,2,4,3,4,3,3,,,0
TRUE,2020-04-29T09:56:22Z,2020-04-29T10:24:52Z,2020-04-29T10:24:52Z,female,17,3,1,Australia,Polynesian,1,4,2,2,4,4,2,4,2,2,2,4,4,2,2,4,5,5,5,4,4,5,5,3,3,3,4,3,4,4,2,3,2,2,4,3,Tyler the Creator,911/ Mr Lonely,0
TRUE,2020-04-29T10:21:01Z,2020-04-29T10:32:25Z,2020-04-29T10:32:25Z,female,17,5,1,Australia,Australian,1,4,4,4,5,4,1,3,4,2,2,5,4,5,3,5,5,5,5,4,4,3,3,4,4,5,1,4,5,5,4,5,5,2,4,5,Ed Sheeran,What Do I Know?,0
